Unnamed: 0,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
1,2020-01-01,Data Scientist,MI,FT,6352272,DE,DE,L,0,,,6352272
,2020-01-01,Principal Data Scientist,SE,FT,130000,DE,DE,M,100,EUR,148261,130000
,2020-01-01,Lead Data Engineer,SE,FT,125000,NZ,NZ,S,50,USD,125000,125000
,2020-01-01,Data Scientist,SE,FT,120000,US,US,L,50,USD,120000,120000
,2020-01-01,Data Scientist,MI,FT,118000,US,US,M,100,USD,118000,118000
,2020-01-01,Lead Data Scientist,MI,FT,115000,AE,AE,L,0,USD,115000,115000
,2020-01-01,Data Engineer,MI,FT,110000,US,US,L,100,USD,110000,110000
,2020-01-01,Data Engineer,MI,FT,106000,US,US,L,100,USD,106000,106000
,2020-01-01,Data Scientist,MI,FT,105000,US,US,L,100,USD,105000,105000
,2020-01-01,Data Scientist,EN,FT,105000,US,US,S,100,USD,105000,105000
,2020-01-01,Data Science Consultant,MI,FT,103000,US,US,L,100,USD,103000,103000
,2020-01-01,Azure Data Engineer,EN,FT,100000,MU,MU,S,0,USD,100000,100000
,2020-01-01,Big Data Engineer,SE,FT,100000,PL,GB,S,100,EUR,114047,100000
,2020-01-01,Business Data Analyst,EN,CT,100000,US,US,L,100,USD,100000,100000
,2020-01-01,BI Data Analyst,MI,FT,98000,US,US,M,0,USD,98000,98000
,2020-01-01,Business Data Analyst,MI,FT,95000,US,US,M,0,USD,95000,95000
,2020-01-01,Data Engineer,MI,FT,130800,ES,US,M,100,USD,130800,130800
,2020-01-01,Data Analyst,EN,FT,91000,US,US,L,100,USD,91000,91000
,2020-01-01,Business Data Analyst,MI,FT,135000,US,US,L,100,USD,135000,135000
,2020-01-01,Data Scientist,MI,FT,138350,US,US,M,100,USD,138350,138350
,2020-01-01,Data Scientist,MI,FT,3000000,IN,IN,L,0,INR,40481,39000
,2020-01-01,Data Engineer,SE,FT,720000,MX,MX,S,0,MXN,33511,720000
,2020-01-01,Research Scientist,MI,FT,450000,US,US,M,0,USD,450000,450000
,2020-01-01,Data Scientist,SE,FT,412000,US,US,L,100,USD,412000,412000
,2020-01-01,Director of Data Science,EX,FT,325000,US,US,L,100,USD,325000,325000
,2020-01-01,Managing Director Data Science,EX,FT,300000,US,US,L,100,USD,300000,300000
,2020-01-01,AI Scientist,EN,FT,300000,DK,DK,S,50,DKK,45896,300000
,2020-01-01,Machine Learning Scientist,SE,FT,260000,JP,JP,S,0,USD,260000,260000
,2020-01-01,Machine Learning Engineer,EN,FT,250000,US,US,L,50,USD,250000,250000
,2020-01-01,Data Science Manager,SE,FT,190200,US,US,M,100,USD,190200,190200
,2020-01-01,Lead Data Scientist,SE,FT,190000,US,US,S,100,USD,190000,190000
,2020-01-01,Data Engineer,SE,FT,188000,US,US,L,100,USD,188000,188000
,2020-01-01,Staff Data Scientist,SE,FT,164000,US,US,M,50,USD,164000,164000
,2020-01-01,Machine Learning Manager,SE,FT,157000,CA,CA,L,50,CAD,117104,157000
,2020-01-01,Machine Learning Engineer,SE,FT,150000,US,US,L,50,USD,150000,150000
,2020-01-01,Machine Learning Engineer,EN,FT,138000,US,US,S,100,USD,138000,138000
,2020-01-01,Data Engineer,EN,FT,4450000,JP,JP,S,100,JPY,41689,40940
,2020-01-01,Data Engineer,MI,FT,88000,GB,GB,L,50,GBP,112872,88000
,2020-01-01,Big Data Engineer,SE,FT,85000,GB,GB,M,50,GBP,109024,85000
,2020-01-01,Data Scientist,EN,FT,45000,FR,FR,S,0,EUR,51321,45000
,2020-01-01,Machine Learning Infrastructure Engineer,MI,FT,44000,PT,PT,M,0,EUR,50180,44000
,2020-01-01,Data Scientist,EN,FT,43200,DE,DE,S,0,EUR,49268,43200
,2020-01-01,Data Analyst,EN,FT,42000,DE,DE,L,0,EUR,47899,42000
,2020-01-01,Research Scientist,EN,FT,42000,NL,NL,L,50,USD,42000,42000
,2020-01-01,Data Engineer,SE,FT,42000,GR,GR,L,50,EUR,47899,42000
,2020-01-01,Data Analyst,MI,FT,41000,FR,FR,L,50,EUR,46759,41000
,2020-01-01,Machine Learning Engineer,SE,FT,40000,HR,HR,S,100,EUR,45618,40000
,2020-01-01,Data Scientist,MI,FT,37000,FR,FR,S,50,EUR,42197,37000
,2020-01-01,Data Scientist,EN,FT,35000,FR,FR,M,0,EUR,39916,35000
,2020-01-01,Data Scientist,MI,FT,34000,ES,ES,M,100,EUR,38776,34000
,2020-01-01,Data Analyst,EN,FT,20000,PT,PT,M,100,EUR,22809,20000
,2020-01-01,Product Data Analyst,MI,FT,20000,HN,HN,S,0,USD,20000,20000
,2020-01-01,Data Scientist,EN,PT,19000,IT,IT,S,50,EUR,21669,19000
,2020-01-01,Staff Data Analyst,EX,FT,15000,NG,CA,M,0,USD,15000,15000
,2020-01-01,Data Scientist,MI,FT,45760,PH,US,S,100,USD,45760,45760
,2020-01-01,Lead Data Analyst,MI,FT,87000,US,US,L,100,USD,87000,87000
,2020-01-01,Data Engineer,EN,FT,48000,PK,DE,L,100,EUR,54742,48000
,2020-01-01,Data Scientist,MI,FT,55000,FR,LU,S,50,EUR,62726,55000
,2020-01-01,Data Analyst,MI,FT,85000,US,US,L,100,USD,85000,85000
,2020-01-01,Data Scientist,SE,FT,80000,AT,AT,S,0,EUR,91237,80000
,2020-01-01,Data Analyst,EN,FT,72000,US,US,L,100,USD,72000,72000
,2020-01-01,Big Data Engineer,EN,FT,70000,US,US,L,100,USD,70000,70000
,2020-01-01,Data Engineer,EX,FT,70000,ES,ES,L,50,EUR,79833,70000
,2020-01-01,Data Scientist,MI,FT,70000,DE,DE,L,0,EUR,79833,70000
,2020-01-01,Data Engineer,MI,FT,65000,AT,AT,L,50,EUR,74130,65000
,2020-01-01,Data Engineer,MI,FT,61500,FR,FR,L,50,EUR,70139,61500
,2020-01-01,Staff Data Analyst,EN,CT,60000,CA,CA,L,50,CAD,44753,60000
,2020-01-01,Sales Data Analyst,MI,CT,60000,NG,NG,M,0,USD,60000,60000
,2020-01-01,Data Scientist,SE,FT,60000,GR,US,L,100,EUR,68428,60000
,2020-01-01,Data Scientist,MI,FT,60000,GB,GB,S,100,GBP,76958,60000
,2020-01-01,Computer Vision Engineer,SE,FL,60000,RU,US,S,100,USD,60000,60000
,2020-01-01,Lead Data Engineer,MI,FT,56000,PT,US,M,100,USD,56000,56000
,2020-01-01,Data Scientist,EN,FT,55000,DE,DE,S,50,EUR,62726,55000
,2020-01-01,Data Engineer,MI,FT,51999,DE,DE,S,100,EUR,59303,51999
,2020-01-01,Data Scientist,MI,FT,11000000,HU,HU,L,50,HUF,35735,36300
,2020-01-01,ML Engineer,EN,PT,14000,DE,DE,S,100,EUR,15966,14000
66,2020-01-01,Data Scientist,EN,FT,4991076,DE,DE,S,50,,,4991076
55,2020-01-01,Computer Vision Engineer,SE,FL,4774170,RU,US,S,100,,,4774170
3,2020-01-01,Big Data Engineer,SE,FT,8674985,GB,GB,M,50,,,8674985
59,2020-01-01,Data Scientist,SE,FT,9548340,US,US,L,50,,,9548340
69,2020-01-01,Data Scientist,EN,FT,8354798,US,US,S,100,,,8354798
40,2020-01-01,Machine Learning Engineer,EN,FT,10980591,US,US,S,100,,,10980591
39,2020-01-01,Data Analyst,EN,FT,795695,NG,NG,S,100,,,795695
27,2020-01-01,Research Scientist,EN,FT,3341919,NL,NL,L,50,,,3341919
21,2020-01-01,Machine Learning Engineer,MI,FT,3447826,CN,CN,M,0,,,3447826
45,2020-01-01,Data Engineer,MI,FT,8981169,GB,GB,L,50,,,8981169
10,2020-01-01,Lead Data Engineer,SE,FT,9946188,NZ,NZ,S,50,,,9946188
57,2020-01-01,Data Scientist,MI,FT,3085387,ES,ES,M,100,,,3085387
11,2020-01-01,Data Scientist,EN,FT,4083586,FR,FR,S,0,,,4083586
12,2020-01-01,Data Scientist,MI,FT,3221053,IN,IN,L,0,,,3221053
5,2020-01-01,Machine Learning Engineer,SE,FT,11935425,US,US,L,50,,,11935425
58,2020-01-01,Data Scientist,MI,FT,9389201,US,US,M,100,,,9389201
13,2020-01-01,Data Scientist,EN,FT,3176096,FR,FR,M,0,,,3176096
64,2020-01-01,Data Scientist,SE,FT,32782634,US,US,L,100,,,32782634
26,2020-01-01,Director of Data Science,EX,FT,25860088,US,US,L,100,,,25860088
9,2020-01-01,Business Data Analyst,MI,FT,10741883,US,US,L,100,,,10741883
6,2020-01-01,Data Analyst,EN,FT,5729004,US,US,L,100,,,5729004
61,2020-01-01,Data Engineer,MI,FT,8752645,US,US,L,100,,,8752645
2,2020-01-01,Machine Learning Scientist,SE,FT,20688070,JP,JP,S,0,,,20688070
19,2020-01-01,Data Science Consultant,EN,FT,454103,IN,IN,M,50,,,454103
38,2020-01-01,Machine Learning Engineer,EN,FT,19892375,US,US,L,50,,,19892375
48,2020-01-01,Data Engineer,SE,FT,14959066,US,US,L,100,,,14959066
8,2020-01-01,Data Scientist,MI,FT,2843416,HU,HU,L,50,,,2843416
54,2020-01-01,Data Engineer,EN,FT,4355794,PK,DE,L,100,,,4355794
