Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
2020-01-01,Business Data Analyst,EN,CT,100000,US,US,L,100,USD,100000.0,100000.0
2020-01-01,BI Data Analyst,MI,FT,98000,US,US,M,0,USD,98000.0,98000.0
2020-01-01,Business Data Analyst,MI,FT,95000,US,US,M,0,USD,95000.0,95000.0
2020-01-01,Data Analyst,EN,FT,91000,US,US,L,100,USD,91000.0,91000.0
2020-01-01,Business Data Analyst,MI,FT,135000,US,US,L,100,USD,135000.0,135000.0
2020-01-01,Data Analyst,EN,FT,42000,DE,DE,L,0,EUR,47899.0,42000.0
2020-01-01,Data Analyst,MI,FT,41000,FR,FR,L,50,EUR,46759.0,41000.0
2020-01-01,Data Analyst,EN,FT,20000,PT,PT,M,100,EUR,22809.0,20000.0
2020-01-01,Product Data Analyst,MI,FT,20000,HN,HN,S,0,USD,20000.0,20000.0
2020-01-01,Staff Data Analyst,EX,FT,15000,NG,CA,M,0,USD,15000.0,15000.0
2020-01-01,Lead Data Analyst,MI,FT,87000,US,US,L,100,USD,87000.0,87000.0
2020-01-01,Data Analyst,MI,FT,85000,US,US,L,100,USD,85000.0,85000.0
2020-01-01,Data Analyst,EN,FT,72000,US,US,L,100,USD,72000.0,72000.0
2020-01-01,Staff Data Analyst,EN,CT,60000,CA,CA,L,50,CAD,44753.0,60000.0
2020-01-01,Sales Data Analyst,MI,CT,60000,NG,NG,M,0,USD,60000.0,60000.0
2021-01-01,Data Analyst,MI,FT,1250000,IN,IN,L,50,INR,16904.0,16250.0
2021-01-01,Lead Data Analyst,MI,FT,1450000,IN,IN,L,100,INR,19609.0,18850.0
2021-01-01,Principal Data Analyst,SE,FT,170000,US,US,M,100,USD,170000.0,170000.0
2021-01-01,Lead Data Analyst,SE,FT,170000,US,US,L,100,USD,170000.0,170000.0
2021-01-01,Data Analyst,MI,FT,62000,US,US,L,0,USD,62000.0,62000.0
2021-01-01,Data Analyst,SE,FT,115000,US,US,S,100,USD,115000.0,115000.0
2021-01-01,BI Data Analyst,MI,FT,100000,US,US,M,100,USD,100000.0,100000.0
2021-01-01,Data Analyst,MI,FT,75000,US,US,L,0,USD,75000.0,75000.0
2021-01-01,BI Data Analyst,MI,FT,11000000,HU,US,L,50,HUF,36259.0,36300.0
2021-01-01,Data Analyst,MI,FT,93000,US,US,L,100,USD,93000.0,93000.0
2021-01-01,Data Analyst,EN,FT,60000,US,US,S,100,USD,60000.0,60000.0
2021-01-01,Data Analyst,MI,FT,135000,US,US,L,100,USD,135000.0,135000.0
2021-01-01,Marketing Data Analyst,SE,FT,75000,GR,DK,L,100,EUR,88654.0,75000.0
2021-01-01,Business Data Analyst,MI,PT,56000,GH,US,M,100,USD,56000.0,56000.0
2021-01-01,BI Data Analyst,EX,FT,150000,IN,US,L,100,USD,150000.0,150000.0
2021-01-01,Data Analyst,SE,FT,200000,US,US,L,100,USD,200000.0,200000.0
2021-01-01,Data Analyst,SE,FT,50000,PH,PH,S,100,USD,50000.0,50000.0
2021-01-01,Data Analyst,EN,FT,50000,FR,FR,M,50,EUR,59102.0,50000.0
2021-01-01,Data Analyst,EN,FT,50000,US,US,M,100,USD,50000.0,50000.0
2021-01-01,Finance Data Analyst,SE,FT,45000,GB,GB,L,50,GBP,61896.0,45000.0
2021-01-01,Business Data Analyst,EN,FT,50000,LU,LU,L,100,EUR,59102.0,50000.0
2021-01-01,BI Data Analyst,EN,FT,55000,US,US,S,50,USD,55000.0,55000.0
2021-01-01,Data Analyst,SE,FT,80000,BG,US,S,100,USD,80000.0,80000.0
2021-01-01,Data Analyst,SE,FT,54000,DE,DE,L,50,EUR,63831.0,54000.0
2021-01-01,Data Analyst,EN,FT,80000,US,US,M,100,USD,80000.0,80000.0
2021-01-01,Data Analyst,EN,FT,56000,AU,AU,L,50,AUD,42028.0,56000.0
2021-01-01,Data Analyst,MI,FT,37456,GB,GB,L,50,GBP,51519.0,37456.0
2021-01-01,Data Analyst,SE,FT,90000,CA,CA,M,100,CAD,71786.0,90000.0
2021-01-01,Data Analyst,EN,FT,90000,US,US,S,100,USD,90000.0,90000.0
2021-01-01,Data Analyst,MI,FT,90000,US,US,M,100,USD,90000.0,90000.0
2021-01-01,Data Analyst,MI,FT,80000,US,US,L,100,USD,80000.0,80000.0
2022-01-01,Product Data Analyst,MI,FT,140000,US,US,M,100,USD,140000.0,140000.0
2022-01-01,Data Analyst,EX,FT,110000,US,US,M,100,USD,110000.0,110000.0
2022-01-01,Data Analyst,SE,FT,80000,US,US,M,100,USD,80000.0,80000.0
2022-01-01,Data Analyst,SE,FT,81666,US,US,M,100,USD,81666.0,81666.0
2022-01-01,Data Analyst,SE,FT,81666,US,US,M,0,USD,81666.0,81666.0
2022-01-01,Data Analyst,SE,FT,164000,US,US,M,0,USD,164000.0,164000.0
2022-01-01,Data Analyst,MI,FT,165000,US,US,M,0,USD,165000.0,165000.0
2022-01-01,Data Analyst,SE,FT,110000,US,US,M,100,USD,110000.0,110000.0
2022-01-01,Data Analyst,SE,FT,110000,US,US,M,0,USD,110000.0,110000.0
2022-01-01,Data Analyst,SE,FT,236600,US,US,M,100,USD,236600.0,236600.0
2022-01-01,Data Analyst,MI,FT,80000,US,US,L,100,USD,80000.0,80000.0
2022-01-01,Data Analyst,SE,FT,140000,US,US,M,100,USD,140000.0,140000.0
2022-01-01,Data Analyst,SE,FT,80000,US,US,M,0,USD,80000.0,80000.0
2022-01-01,Data Analyst,MI,FT,80000,US,US,M,0,USD,80000.0,80000.0
2022-01-01,Marketing Data Analyst,SE,FT,200000,GB,GB,S,100,USD,200000.0,200000.0
2022-01-01,Data Analyst,SE,FT,70000,US,US,M,0,USD,70000.0,70000.0
2022-01-01,Data Analyst,MI,FT,112000,US,US,M,100,USD,112000.0,112000.0
2022-01-01,Data Analyst,SE,FT,69000,US,US,M,100,USD,69000.0,69000.0
2022-01-01,Data Analyst,SE,FT,110600,US,US,M,0,USD,110600.0,110600.0
2022-01-01,Data Analyst,MI,FT,160000,US,US,M,0,USD,160000.0,160000.0
2022-01-01,Data Analyst,SE,FT,110925,US,US,M,100,USD,110925.0,110925.0
2022-01-01,Data Analyst,SE,FT,192500,US,US,M,100,USD,192500.0,192500.0
2022-01-01,Data Analyst,SE,FT,144000,US,US,M,100,USD,144000.0,144000.0
2022-01-01,Data Analyst,MI,FT,144100,US,US,M,0,USD,144100.0,144100.0
2022-01-01,Data Analyst,SE,FT,124190,US,US,M,100,USD,124190.0,124190.0
2022-01-01,Data Analyst,SE,FT,144100,US,US,M,0,USD,144100.0,144100.0
2022-01-01,Data Analyst,SE,FT,112900,US,US,M,0,USD,112900.0,112900.0
2022-01-01,Data Analyst,SE,FT,112900,US,US,M,100,USD,112900.0,112900.0
2022-01-01,Data Analyst,MI,FT,113000,US,US,L,0,USD,113000.0,113000.0
2022-01-01,Data Analyst,SE,FT,113000,US,US,M,100,USD,113000.0,113000.0
2022-01-01,Data Analyst,SE,FT,70000,GB,GB,M,0,GBP,86193.0,70000.0
2022-01-01,Data Analyst,SE,FT,126500,US,US,M,100,USD,126500.0,126500.0
2022-01-01,Data Analyst,MI,FT,126500,US,US,M,0,USD,126500.0,126500.0
2022-01-01,Data Analyst,SE,FT,127000,US,US,M,0,USD,127000.0,127000.0
2022-01-01,Data Analyst,SE,FT,127000,US,US,M,100,USD,127000.0,127000.0
2022-01-01,BI Data Analyst,MI,FT,77000,AU,AU,M,100,AUD,53368.0,77000.0
2022-01-01,Data Analyst,EN,PT,125404,CN,US,S,50,USD,125404.0,125404.0
2022-01-01,Data Analyst,MI,FT,79000,US,US,M,0,USD,79000.0,79000.0
2022-01-01,Financial Data Analyst,MI,FT,75000,US,US,M,0,USD,75000.0,75000.0
2022-01-01,Data Analyst,SE,FT,75000,GB,GB,M,0,GBP,92350.0,75000.0
2022-01-01,Data Analyst,MI,FT,75000,US,US,M,100,USD,75000.0,75000.0
2022-01-01,Data Analyst,SE,FT,68400,US,US,M,100,USD,68400.0,68400.0
2022-01-01,Data Analyst,MI,FT,75000,CA,CA,M,0,USD,75000.0,75000.0
2022-01-01,Principal Data Analyst,MI,FT,75000,CA,CA,S,100,USD,75000.0,75000.0
2022-01-01,Data Analyst,SE,FT,95000,US,US,M,0,USD,95000.0,95000.0
2022-01-01,Data Analyst,MI,FT,102640,US,US,M,100,USD,102640.0,102640.0
2022-01-01,Data Analyst,SE,FT,95000,US,US,M,100,USD,95000.0,95000.0
2022-01-01,Data Analyst,SE,FT,96000,US,US,M,100,USD,96000.0,96000.0
2022-01-01,Data Analyst,SE,FT,102100,US,US,M,100,USD,102100.0,102100.0
2022-01-01,Data Analyst,SE,FT,93700,US,US,M,100,USD,93700.0,93700.0
2022-01-01,Data Analyst,SE,FT,135000,US,US,M,100,USD,135000.0,135000.0
2022-01-01,Data Analyst,MI,FT,135000,US,US,M,100,USD,135000.0,135000.0
2022-01-01,Data Analyst,MI,FT,216200,US,US,M,0,USD,216200.0,216200.0
2022-01-01,Data Analyst,SE,FT,216200,US,US,M,0,USD,216200.0,216200.0
2022-01-01,Data Analyst,SE,FT,104000,US,US,M,100,USD,104000.0,104000.0
2022-01-01,Data Analyst,SE,FT,171000,US,AU,L,100,USD,171000.0,171000.0
2022-01-01,Data Analyst,MI,FT,100000,US,US,M,0,USD,100000.0,100000.0
2022-01-01,Product Data Analyst,EN,FT,100000,US,US,M,100,USD,100000.0,100000.0
2022-01-01,Data Analyst,SE,FT,100000,US,US,M,0,USD,100000.0,100000.0
2022-01-01,Data Analyst,MI,FT,100000,US,US,M,100,USD,100000.0,100000.0
2022-01-01,Data Analyst,SE,FT,100000,US,US,M,100,USD,100000.0,100000.0
2022-01-01,Data Analyst,MI,FT,206000,US,US,M,0,USD,206000.0,206000.0
